image_filename,label,cx,cy,bw,bh
CVC-ColonDB_1.png,0,0.469512,0.389000,0.099303,0.070000
CVC-ColonDB_10.png,0,0.364111,0.892000,0.198606,0.132000
CVC-ColonDB_100.png,0,0.869338,0.632000,0.174216,0.492000
CVC-ColonDB_101.png,0,0.819686,0.509000,0.193380,0.350000
CVC-ColonDB_102.png,0,0.526132,0.574000,0.459930,0.484000
CVC-ColonDB_103.png,0,0.686411,0.496000,0.404181,0.548000
CVC-ColonDB_104.png,0,0.515679,0.684000,0.498258,0.552000
CVC-ColonDB_105.png,0,0.636760,0.707000,0.416376,0.502000
CVC-ColonDB_106.png,0,0.387631,0.769000,0.513937,0.386000
CVC-ColonDB_107.png,0,0.324042,0.781000,0.473868,0.354000
CVC-ColonDB_108.png,0,0.797909,0.704000,0.313589,0.504000
CVC-ColonDB_109.png,0,0.872822,0.675000,0.170732,0.482000
CVC-ColonDB_11.png,0,0.781359,0.480000,0.297909,0.488000
CVC-ColonDB_110.png,0,0.844077,0.684000,0.224739,0.524000
CVC-ColonDB_111.png,0,0.809233,0.543000,0.290941,0.530000
CVC-ColonDB_112.png,0,0.844948,0.437000,0.222997,0.450000
CVC-ColonDB_113.png,0,0.495645,0.572000,0.437282,0.464000
CVC-ColonDB_114.png,0,0.387631,0.476000,0.374564,0.356000
CVC-ColonDB_115.png,0,0.323171,0.512000,0.221254,0.224000
CVC-ColonDB_116.png,0,0.334495,0.507000,0.160279,0.206000
CVC-ColonDB_117.png,0,0.884146,0.511000,0.148084,0.302000
CVC-ColonDB_118.png,0,0.862369,0.513000,0.174216,0.334000
CVC-ColonDB_119.png,0,0.804878,0.588000,0.128920,0.384000
CVC-ColonDB_12.png,0,0.104530,0.793000,0.160279,0.254000
CVC-ColonDB_120.png,0,0.874564,0.454000,0.132404,0.392000
CVC-ColonDB_121.png,0,0.818815,0.486000,0.282230,0.820000
CVC-ColonDB_122.png,0,0.810976,0.417000,0.290941,0.746000
CVC-ColonDB_123.png,0,0.818815,0.400000,0.282230,0.692000
CVC-ColonDB_124.png,0,0.690767,0.713000,0.482578,0.498000
CVC-ColonDB_125.png,0,0.743902,0.660000,0.421603,0.608000
CVC-ColonDB_126.png,0,0.667247,0.731000,0.428571,0.466000
CVC-ColonDB_127.png,0,0.784843,0.575000,0.346690,0.554000
CVC-ColonDB_128.png,0,0.848432,0.402000,0.219512,0.444000
CVC-ColonDB_129.png,0,0.602787,0.542000,0.466899,0.544000
CVC-ColonDB_13.png,0,0.152439,0.681000,0.144599,0.218000
