image_filename,label,cx,cy,bw,bh
ETIS-LaribPolypDB_1.png,0,0.427755,0.459627,0.078367,0.175983
ETIS-LaribPolypDB_10.png,0,0.309796,0.604555,0.077551,0.153209
ETIS-LaribPolypDB_100.png,0,0.686531,0.396480,0.104490,0.233954
ETIS-LaribPolypDB_101.png,0,0.659592,0.440994,0.091429,0.213251
ETIS-LaribPolypDB_102.png,0,0.661224,0.444099,0.093061,0.209110
ETIS-LaribPolypDB_103.png,0,0.687347,0.417184,0.101224,0.240166
ETIS-LaribPolypDB_104.png,0,0.661633,0.442547,0.095510,0.214286
ETIS-LaribPolypDB_105.png,0,0.134286,0.589027,0.258776,0.391304
ETIS-LaribPolypDB_106.png,0,0.128163,0.580228,0.243265,0.406832
ETIS-LaribPolypDB_107.png,0,0.141224,0.586957,0.253061,0.393375
ETIS-LaribPolypDB_108.png,0,0.195918,0.677019,0.257959,0.380952
ETIS-LaribPolypDB_109.png,0,0.135918,0.585921,0.253878,0.389234
ETIS-LaribPolypDB_11.png,0,0.326122,0.699275,0.057959,0.123188
ETIS-LaribPolypDB_110.png,0,0.409796,0.592650,0.151837,0.230849
ETIS-LaribPolypDB_111.png,0,0.311429,0.542961,0.178776,0.247412
ETIS-LaribPolypDB_112.png,0,0.296735,0.535714,0.116735,0.185300
ETIS-LaribPolypDB_113.png,0,0.644082,0.657867,0.455510,0.485507
ETIS-LaribPolypDB_114.png,0,0.654694,0.669772,0.475102,0.496894
ETIS-LaribPolypDB_115.png,0,0.645714,0.660455,0.468571,0.488613
ETIS-LaribPolypDB_116.png,0,0.644490,0.665114,0.559184,0.584886
ETIS-LaribPolypDB_117.png,0,0.647347,0.669772,0.460408,0.484472
ETIS-LaribPolypDB_118.png,0,0.645306,0.677536,0.451429,0.471014
ETIS-LaribPolypDB_119.png,0,0.413469,0.591097,0.472653,0.505176
ETIS-LaribPolypDB_12.png,0,0.302449,0.580228,0.071020,0.172878
ETIS-LaribPolypDB_120.png,0,0.427347,0.569876,0.484082,0.528986
ETIS-LaribPolypDB_121.png,0,0.093469,0.804348,0.108571,0.171843
ETIS-LaribPolypDB_122.png,0,0.108571,0.765010,0.111020,0.153209
ETIS-LaribPolypDB_123.png,0,0.108571,0.724120,0.084898,0.131470
ETIS-LaribPolypDB_124.png,0,0.291429,0.190476,0.320000,0.376812
ETIS-LaribPolypDB_125.png,0,0.279592,0.193064,0.324082,0.379917
ETIS-LaribPolypDB_126.png,0,0.094286,0.822981,0.121633,0.180124
ETIS-LaribPolypDB_127.png,0,0.432653,0.805383,0.109388,0.120083
ETIS-LaribPolypDB_128.png,0,0.405306,0.487578,0.098776,0.097308
ETIS-LaribPolypDB_129.png,0,0.408571,0.465839,0.102041,0.095238
ETIS-LaribPolypDB_13.png,0,0.559592,0.551242,0.255510,0.634576
ETIS-LaribPolypDB_130.png,0,0.355918,0.431159,0.112653,0.108696
ETIS-LaribPolypDB_131.png,0,0.431429,0.802277,0.108571,0.113872
ETIS-LaribPolypDB_132.png,0,0.401224,0.509834,0.098776,0.098344
ETIS-LaribPolypDB_133.png,0,0.576327,0.551760,0.143673,0.231884
ETIS-LaribPolypDB_134.png,0,0.435510,0.539855,0.121633,0.220497
ETIS-LaribPolypDB_135.png,0,0.493061,0.421843,0.083265,0.141822
ETIS-LaribPolypDB_136.png,0,0.594694,0.619048,0.173878,0.265010
ETIS-LaribPolypDB_137.png,0,0.448571,0.542443,0.123265,0.242236
ETIS-LaribPolypDB_138.png,0,0.491429,0.429607,0.083265,0.157350
ETIS-LaribPolypDB_139.png,0,0.798367,0.278986,0.161633,0.152174
ETIS-LaribPolypDB_14.png,0,0.587755,0.439441,0.271020,0.719462
ETIS-LaribPolypDB_140.png,0,0.720408,0.479814,0.111837,0.141822
ETIS-LaribPolypDB_141.png,0,0.706531,0.534679,0.095510,0.143892
ETIS-LaribPolypDB_142.png,0,0.747755,0.495859,0.130612,0.167702
ETIS-LaribPolypDB_143.png,0,0.922041,0.320911,0.152653,0.178054
ETIS-LaribPolypDB_144.png,0,0.850612,0.404244,0.151837,0.152174
ETIS-LaribPolypDB_145.png,0,0.880408,0.290890,0.180408,0.163561
ETIS-LaribPolypDB_146.png,0,0.692245,0.643892,0.097959,0.142857
ETIS-LaribPolypDB_147.png,0,0.547755,0.360766,0.181224,0.119048
ETIS-LaribPolypDB_148.png,0,0.639184,0.151656,0.161633,0.185300
ETIS-LaribPolypDB_149.png,0,0.502857,0.485507,0.181224,0.084886
ETIS-LaribPolypDB_15.png,0,0.728163,0.505176,0.334694,0.666667
ETIS-LaribPolypDB_150.png,0,0.488571,0.392340,0.320816,0.180124
ETIS-LaribPolypDB_151.png,0,0.629388,0.214803,0.132245,0.125259
ETIS-LaribPolypDB_152.png,0,0.464898,0.347826,0.227755,0.097308
ETIS-LaribPolypDB_153.png,0,0.385306,0.273292,0.148571,0.184265
ETIS-LaribPolypDB_154.png,0,0.103265,0.727226,0.106939,0.121118
ETIS-LaribPolypDB_155.png,0,0.420816,0.190994,0.141224,0.145963
ETIS-LaribPolypDB_156.png,0,0.090612,0.710145,0.093061,0.120083
ETIS-LaribPolypDB_157.png,0,0.107347,0.730331,0.108571,0.123188
ETIS-LaribPolypDB_158.png,0,0.418367,0.198758,0.126531,0.122153
ETIS-LaribPolypDB_159.png,0,0.407755,0.611284,0.258776,0.311594
ETIS-LaribPolypDB_16.png,0,0.751837,0.439959,0.310204,0.631470
ETIS-LaribPolypDB_160.png,0,0.371020,0.658903,0.255510,0.301242
ETIS-LaribPolypDB_161.png,0,0.213061,0.689959,0.228571,0.259834
ETIS-LaribPolypDB_162.png,0,0.411020,0.605072,0.253878,0.313665
ETIS-LaribPolypDB_163.png,0,0.382041,0.653727,0.261224,0.303313
ETIS-LaribPolypDB_164.png,0,0.269796,0.683747,0.248980,0.259834
ETIS-LaribPolypDB_165.png,0,0.277959,0.805901,0.191837,0.102484
ETIS-LaribPolypDB_166.png,0,0.269388,0.879917,0.223673,0.142857
ETIS-LaribPolypDB_167.png,0,0.493061,0.737060,0.213878,0.167702
ETIS-LaribPolypDB_168.png,0,0.244898,0.837992,0.181224,0.112836
ETIS-LaribPolypDB_169.png,0,0.589388,0.665114,0.115918,0.092133
ETIS-LaribPolypDB_17.png,0,0.739592,0.622153,0.298776,0.550725
ETIS-LaribPolypDB_170.png,0,0.629388,0.808489,0.111020,0.082816
ETIS-LaribPolypDB_171.png,0,0.524898,0.783644,0.403265,0.333333
ETIS-LaribPolypDB_172.png,0,0.437551,0.485507,0.434286,0.403727
ETIS-LaribPolypDB_173.png,0,0.410204,0.592133,0.498776,0.434783
ETIS-LaribPolypDB_174.png,0,0.517959,0.681159,0.369796,0.289855
ETIS-LaribPolypDB_175.png,0,0.439592,0.488613,0.395918,0.401656
ETIS-LaribPolypDB_176.png,0,0.440816,0.578157,0.409796,0.396480
