image_filename,label,cx,cy,bw,bh
Kvasir-SEG_cju0qkwl35piu0993l0dewei2.jpg,0,0.377010,0.325142,0.628617,0.627599
Kvasir-SEG_cju0qoxqj9q6s0835b43399p4.jpg,0,0.410979,0.623364,0.532641,0.714019
Kvasir-SEG_cju0qx73cjw570799j4n5cjze.jpg,0,0.590468,0.511342,0.573506,0.965974
Kvasir-SEG_cju0roawvklrq0799vmjorwfv.jpg,0,0.891479,0.361742,0.217042,0.560606
Kvasir-SEG_cju0roawvklrq0799vmjorwfv.jpg,0,0.616559,0.210227,0.172026,0.147727
Kvasir-SEG_cju0rx1idathl0835detmsp84.jpg,0,0.627229,0.501894,0.304700,0.416667
Kvasir-SEG_cju0s2a9ekvms080138tjjpxr.jpg,0,0.803514,0.446984,0.392971,0.681901
Kvasir-SEG_cju0s690hkp960855tjuaqvv0.jpg,0,0.450886,0.679245,0.180354,0.279245
Kvasir-SEG_cju0sr5ghl0nd08789uzf1raf.jpg,0,0.462932,0.327282,0.276771,0.303238
Kvasir-SEG_cju0sr5ghl0nd08789uzf1raf.jpg,0,0.411450,0.759078,0.327018,0.395486
Kvasir-SEG_cju0sxqiclckk08551ycbwhno.jpg,0,0.828070,0.654426,0.249123,0.258004
Kvasir-SEG_cju0t4oil7vzk099370nun5h9.jpg,0,0.624598,0.605660,0.593248,0.773585
Kvasir-SEG_cju0tl3uz8blh0993wxvn7ly3.jpg,0,0.550643,0.776938,0.088424,0.090737
Kvasir-SEG_cju0u2g7pmnux0801vkk47ivj.jpg,0,0.300327,0.644340,0.600655,0.711321
Kvasir-SEG_cju0u82z3cuma0835wlxrnrjv.jpg,0,0.721246,0.569597,0.503195,0.805861
Kvasir-SEG_cju0ue769mxii08019zqgdbxn.jpg,0,0.419329,0.296161,0.253994,0.285192
Kvasir-SEG_cju0vtox5ain6099360pu62rp.jpg,0,0.357717,0.323917,0.249196,0.271186
Kvasir-SEG_cju13cgqmnhwn0988yrainhcp.jpg,0,0.553514,0.720696,0.349840,0.474359
Kvasir-SEG_cju13fwthn9mq0835gacxgy01.jpg,0,0.772071,0.260870,0.430177,0.465028
Kvasir-SEG_cju13hp5rnbjx0835bf0jowgx.jpg,0,0.176045,0.388889,0.352090,0.431262
Kvasir-SEG_cju14g8o4xui30878gkgbrvqj.jpg,0,0.791801,0.403955,0.165595,0.216573
Kvasir-SEG_cju14hjh2ob2o0835ouz3r5aa.jpg,0,0.786535,0.685897,0.387521,0.463370
Kvasir-SEG_cju14pxbaoksp0835qzorx6g6.jpg,0,0.396302,0.162264,0.329582,0.290566
Kvasir-SEG_cju15czxqp3lv0835jvhgzurz.jpg,0,0.375806,0.531993,0.651613,0.723949
Kvasir-SEG_cju15jr8jz8sb0855ukmkswkz.jpg,0,0.617845,0.355114,0.582492,0.710227
Kvasir-SEG_cju15l5ubz9yh0855b3ivdpse.jpg,0,0.406550,0.476234,0.228435,0.221207
Kvasir-SEG_cju15mhjczc8z0801kit5c6di.jpg,0,0.760417,0.294872,0.415064,0.454212
Kvasir-SEG_cju15ptjtppz40988odsm9azx.jpg,0,0.732315,0.412098,0.319936,0.291115
Kvasir-SEG_cju15wdt3zla10801odjiw7sy.jpg,0,0.697749,0.726843,0.418006,0.546314
Kvasir-SEG_cju160wshltz10993i1gmqxbe.jpg,0,0.771005,0.605660,0.148270,0.233962
Kvasir-SEG_cju16ach3m1da0993r1dq3sn2.jpg,0,0.407468,0.625000,0.558442,0.640152
Kvasir-SEG_cju16b6ynq8e40988m8vx0xnj.jpg,0,0.228546,0.198113,0.155867,0.162264
Kvasir-SEG_cju16d65tzw9d0799ouslsw25.jpg,0,0.614345,0.548113,0.205821,0.296226
Kvasir-SEG_cju16fpvhzypl0799p9phnlx6.jpg,0,0.601438,0.553114,0.388179,0.421245
Kvasir-SEG_cju16jgnyzp970878melv7r25.jpg,0,0.683929,0.661626,0.435714,0.427221
Kvasir-SEG_cju16whaj0e7n0855q7b6cjkm.jpg,0,0.470447,0.356490,0.758786,0.665448
Kvasir-SEG_cju171py4qiha0835u8sl59ds.jpg,0,0.667208,0.395283,0.665584,0.790566
Kvasir-SEG_cju175facms5f0993a5tjikvt.jpg,0,0.353462,0.635417,0.703704,0.577652
Kvasir-SEG_cju17bz250pgd0799u1hqkj5u.jpg,0,0.559904,0.258684,0.289137,0.484461
Kvasir-SEG_cju17g6ykn1cs0993dww6qdi8.jpg,0,0.497521,0.621569,0.684298,0.756863
Kvasir-SEG_cju17hw9hr9c5098800fu4u8e.jpg,0,0.447833,0.413826,0.195827,0.160985
Kvasir-SEG_cju17otoe119u0799nqcbl8n1.jpg,0,0.509634,0.556751,0.969171,0.886497
Kvasir-SEG_cju17r8il13910799dr2wme2e.jpg,0,0.661576,0.455744,0.114148,0.143126
Kvasir-SEG_cju17v6ih0u7808783zcbg1jy.jpg,0,0.311093,0.421402,0.538585,0.842803
Kvasir-SEG_cju17x0j4nfc10993y31pvlgs.jpg,0,0.501089,0.500000,0.997821,1.000000
Kvasir-SEG_cju17z0qongpa0993de4boim4.jpg,0,0.651929,0.663516,0.239550,0.302457
Kvasir-SEG_cju1819curo000988pd5xcqme.jpg,0,0.600000,0.709830,0.383333,0.387524
Kvasir-SEG_cju183od81ff608017ekzif89.jpg,0,0.769293,0.566536,0.297428,0.428571
Kvasir-SEG_cju183od81ff608017ekzif89.jpg,0,0.533762,0.872798,0.286174,0.242661
Kvasir-SEG_cju1871y11d6r0799k6cw4yze.jpg,0,0.233333,0.569680,0.466667,0.446328
Kvasir-SEG_cju18849rrsgr0988p90hkygb.jpg,0,0.457997,0.403409,0.408724,0.340909
Kvasir-SEG_cju18gzrq18zw0878wbf4ftw6.jpg,0,0.757987,0.389194,0.378594,0.349817
Kvasir-SEG_cju18ibp219ub08783i6o98g7.jpg,0,0.801626,0.713068,0.120325,0.210227
Kvasir-SEG_cju18kevfrojc0835bn90f1in.jpg,0,0.525765,0.767992,0.349436,0.274621
Kvasir-SEG_cju1alwgo30z60855fm3y23sm.jpg,0,0.639871,0.358223,0.299035,0.474480
Kvasir-SEG_cju1amqw6p8pw0993d9gc5crl.jpg,0,0.672026,0.485375,0.215434,0.162706
Kvasir-SEG_cju1aqqv02qwz0878a5cyhr67.jpg,0,0.569489,0.711152,0.308307,0.354662
Kvasir-SEG_cju1ats0y372e08011yazcsxm.jpg,0,0.434189,0.326705,0.332263,0.653409
Kvasir-SEG_cju1b0y2e396p08558ois175d.jpg,0,0.502396,0.415751,0.209265,0.296703
Kvasir-SEG_cju1b3zgj3d8e0801kpolea6c.jpg,0,0.474210,0.585227,0.589018,0.469697
Kvasir-SEG_cju1b75x63ddl0799sdp0i2j3.jpg,0,0.633880,0.482075,0.244080,0.416981
Kvasir-SEG_cju1bhnfitmge0835ynls0l6b.jpg,0,0.787781,0.580038,0.376206,0.305085
Kvasir-SEG_cju1bm8063nmh07996rsjjemq.jpg,0,0.603789,0.360377,0.525535,0.660377
